http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=313_1	CAULIFLOWER
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=1516_2	CAVIAR, STURGEON ROE
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=344_1	CELERIAC
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=343_1	CELERY
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=100235_2	CHAMPAGNE
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=1706_2	CHEDDAR CHEESE
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=407_2	CHERRIES
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8071_2	CHERRIES, CANNED IN SYRUP
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=609027_2	CHERRY BRANDY
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=503_2	CHESTNUTS
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8636_2	CHESTNUTS, BOILED
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=504_2	CHESTNUTS, dried
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8635_2	CHESTNUTS, ROASTED
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=2012_1	CHEWING GUM
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=700082_1	CHICK PEAS, canned
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=201_1	CHICK PEAS, dried
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8690_2	CHICKEN BREAST, without skin, cooked, pan fried
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8689_2	CHICKEN, BREAST, without skin
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8685_2	CHICKEN, LEG-LOWER PART, with skin
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8687_2	CHICKEN, LEG-LOWER PART, with skin, cooked, oven
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8686_2	CHICKEN, LEG-LOWER PART, without skin
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8688_2	CHICKEN, LEG-LOWER PART, without skin, cooked, oven
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=1294_2	CHICKEN, LIVER
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=1295_2	CHICKEN, OFFAL
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8691_2	CHICKEN, OVER LEG PART, with skin
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8693_2	CHICKEN, OVER LEG PART, with skin, cooked, oven
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8692_2	CHICKEN, OVER LEG PART, without skin
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8694_2	CHICKEN, OVER LEG PART, without skin, cooked, oven
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8677_2	CHICKEN, WHOLE, with skin
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8679_2	CHICKEN, WHOLE, with skin, cooked, oven
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8681_2	CHICKEN, WHOLE, with skin, cooked, roasted from "rotisserie"
